Country,Day,Total confirmed cases,Total suspected cases
World,2022-05-01,44,
World,2022-05-02,44,
World,2022-05-03,51,
World,2022-05-04,51,
World,2022-05-05,51,
World,2022-05-06,51,
World,2022-05-07,52,
World,2022-05-08,52,
World,2022-05-09,52,
World,2022-05-10,72,
World,2022-05-11,72,
World,2022-05-12,72,
World,2022-05-13,72,
World,2022-05-14,74,
World,2022-05-15,78,
World,2022-05-16,83,
World,2022-05-17,130,
World,2022-05-18,135,
World,2022-05-19,153,
World,2022-05-20,198,
World,2022-05-21,224,
World,2022-05-22,257,
World,2022-05-23,292,
World,2022-05-24,383,
World,2022-05-25,430,
World,2022-05-26,481,
World,2022-05-27,506,
World,2022-05-28,506,
World,2022-05-29,507,
World,2022-05-30,663,
World,2022-05-31,847,
World,2022-06-01,928,
World,2022-06-02,1019,
World,2022-06-03,1105,
World,2022-06-04,1125,
World,2022-06-05,1143,
World,2022-06-06,1236,
World,2022-06-07,1471,
World,2022-06-08,1572,
World,2022-06-09,1618,
World,2022-06-10,1787,
World,2022-06-11,1787,
World,2022-06-12,1810,
World,2022-06-13,2003,
World,2022-06-14,2456,
World,2022-06-15,2610,
World,2022-06-16,2734,
World,2022-06-17,3078,
World,2022-06-18,3078,
World,2022-06-19,3177,
World,2022-06-20,3507,
World,2022-06-21,4293,
World,2022-06-22,4449,
World,2022-06-23,4736,
World,2022-06-24,5115,
World,2022-06-25,5159,
World,2022-06-26,5187,
World,2022-06-27,5367,
World,2022-06-28,6949,
World,2022-06-29,7052,
World,2022-06-30,7408,
World,2022-07-01,7595,
World,2022-07-02,7619,
World,2022-07-03,7657,
World,2022-07-04,7828,
World,2022-07-05,10385,
World,2022-07-06,10802,
World,2022-07-07,10970,
World,2022-07-08,10970,
World,2022-07-09,10970,
World,2022-07-10,12137,
World,2022-07-11,12314,
World,2022-07-12,15564,
World,2022-07-13,16045,
World,2022-07-14,16285,
World,2022-07-15,16496,
World,2022-07-16,16496,
World,2022-07-17,16518,
World,2022-07-18,17204,
World,2022-07-19,21488,
World,2022-07-20,21888,
World,2022-07-21,22528,
World,2022-07-22,22755,
World,2022-07-23,22755,
World,2022-07-24,22780,
World,2022-07-25,23169,
World,2022-07-26,28326,
World,2022-07-27,28760,
World,2022-07-28,29144,
World,2022-07-29,29335,
World,2022-07-30,29335,
World,2022-07-31,29378,
World,2022-08-01,30391,
World,2022-08-02,36185,
World,2022-08-03,36231,
World,2022-08-04,36573,
World,2022-08-05,36776,
World,2022-08-06,36780,
World,2022-08-07,36800,
World,2022-08-08,37576,
World,2022-08-09,42943,
World,2022-08-10,43061,
World,2022-08-11,43386,
World,2022-08-12,43685,
World,2022-08-13,43685,
World,2022-08-14,44391,
World,2022-08-15,44394,
World,2022-08-16,49310,
World,2022-08-17,49548,
World,2022-08-18,49779,
World,2022-08-19,50080,
World,2022-08-20,50080,
World,2022-08-21,50113,
World,2022-08-22,50579,
World,2022-08-23,55082,
World,2022-08-24,55115,
World,2022-08-25,55230,
World,2022-08-26,56055,
World,2022-08-27,56055,
World,2022-08-28,56124,
World,2022-08-29,56171,
World,2022-08-30,60131,
World,2022-08-31,60344,
World,2022-09-01,60429,
World,2022-09-02,60429,
World,2022-09-03,60431,
World,2022-09-04,60753,
World,2022-09-05,60754,
World,2022-09-06,64459,
World,2022-09-07,64550,
World,2022-09-08,64605,
World,2022-09-09,64608,
World,2022-09-10,64608,
World,2022-09-11,64938,
World,2022-09-12,64939,
World,2022-09-13,68030,
World,2022-09-14,68087,
World,2022-09-15,68125,
World,2022-09-16,68242,
World,2022-09-17,68242,
World,2022-09-18,68312,
World,2022-09-19,68415,
World,2022-09-20,70991,
World,2022-09-21,71096,
World,2022-09-22,71114,
World,2022-09-23,71137,
World,2022-09-24,71137,
World,2022-09-25,71210,
World,2022-09-26,71311,
World,2022-09-27,73469,
World,2022-09-28,73484,
World,2022-09-29,73526,
World,2022-09-30,73583,
World,2022-10-01,73593,
World,2022-10-02,73626,
World,2022-10-03,73633,
World,2022-10-04,75402,
World,2022-10-05,75420,
World,2022-10-06,75477,
World,2022-10-07,75496,
World,2022-10-08,75496,
World,2022-10-09,75573,
World,2022-10-10,75589,
World,2022-10-11,77150,
World,2022-10-12,77157,
World,2022-10-13,77178,
World,2022-10-14,77221,
World,2022-10-15,77221,
World,2022-10-16,77256,
World,2022-10-17,77280,
World,2022-10-18,78454,
World,2022-10-19,78584,
World,2022-10-20,78594,
World,2022-10-21,78602,
World,2022-10-22,78602,
World,2022-10-23,78648,
World,2022-10-24,78660,
World,2022-10-25,79720,
World,2022-10-26,79730,
World,2022-10-27,79732,
World,2022-10-28,79736,
World,2022-10-29,79736,
World,2022-10-30,79764,
World,2022-10-31,79770,
World,2022-11-01,80671,
World,2022-11-02,80671,
World,2022-11-03,80676,
World,2022-11-04,80709,
World,2022-11-05,80709,
World,2022-11-06,80730,
World,2022-11-07,80730,
World,2022-11-08,81529,
World,2022-11-09,81529,
World,2022-11-10,81529,
World,2022-11-11,81529,
World,2022-11-12,81529,
World,2022-11-13,81607,
World,2022-11-14,81607,
World,2022-11-15,82276,
World,2022-11-16,82277,
World,2022-11-17,82279,
World,2022-11-18,82291,
World,2022-11-19,82291,
World,2022-11-20,82316,
World,2022-11-21,82316,
World,2022-11-22,82889,
World,2022-11-23,82890,
World,2022-11-24,82891,
World,2022-11-25,82897,
World,2022-11-26,82903,
World,2022-11-27,82938,
World,2022-11-28,82938,
World,2022-11-29,83417,
World,2022-11-30,83417,
World,2022-12-01,83417,
World,2022-12-02,83426,
World,2022-12-03,83426,
World,2022-12-04,83469,
World,2022-12-05,83469,
World,2022-12-06,83900,
World,2022-12-07,83900,
World,2022-12-08,83900,
World,2022-12-09,83911,
World,2022-12-10,83911,
World,2022-12-11,83944,
World,2022-12-12,83948,
World,2022-12-13,84269,
World,2022-12-14,84269,
World,2022-12-15,84269,
World,2022-12-16,84275,
World,2022-12-17,84275,
World,2022-12-18,84287,
World,2022-12-19,84287,
World,2022-12-20,84648,
World,2022-12-21,84648,
World,2022-12-22,84648,
World,2022-12-23,84649,
World,2022-12-24,84649,
World,2022-12-25,84659,
World,2022-12-26,84659,
World,2022-12-27,84890,
World,2022-12-28,84890,
World,2022-12-29,84890,
World,2022-12-30,84890,
World,2022-12-31,84890,
World,2023-01-01,84898,
World,2023-01-02,84898,
World,2023-01-03,85201,
World,2023-01-04,85201,
World,2023-01-05,85201,
World,2023-01-06,85203,
World,2023-01-07,85203,
World,2023-01-08,85245,
World,2023-01-09,85245,
World,2023-01-10,85491,
World,2023-01-11,85492,
World,2023-01-12,85493,
World,2023-01-13,85503,
World,2023-01-14,85503,
World,2023-01-15,85532,
World,2023-01-16,85532,
World,2023-01-17,85764,
World,2023-01-18,85764,
World,2023-01-19,85765,
World,2023-01-20,85772,
World,2023-01-21,85773,
World,2023-01-22,85810,
World,2023-01-23,85810,
World,2023-01-24,86003,
World,2023-01-25,86003,
