Country,Day,Daily cases
World,2022-05-01,0.57
World,2022-05-02,0.57
World,2022-05-03,1.29
World,2022-05-04,1.29
World,2022-05-05,1.29
World,2022-05-06,1.29
World,2022-05-07,1.43
World,2022-05-08,1.14
World,2022-05-09,1.14
World,2022-05-10,3
World,2022-05-11,3
World,2022-05-12,3
World,2022-05-13,3
World,2022-05-14,3.14
World,2022-05-15,3.71
World,2022-05-16,4.43
World,2022-05-17,8.29
World,2022-05-18,9
World,2022-05-19,11.57
World,2022-05-20,18
World,2022-05-21,21.43
World,2022-05-22,25.57
World,2022-05-23,29.86
World,2022-05-24,36.14
World,2022-05-25,42.14
World,2022-05-26,46.86
World,2022-05-27,44
World,2022-05-28,40.29
World,2022-05-29,35.71
World,2022-05-30,53
World,2022-05-31,66.29
World,2022-06-01,71.14
World,2022-06-02,76.86
World,2022-06-03,85.57
World,2022-06-04,88.43
World,2022-06-05,90.86
World,2022-06-06,81.86
World,2022-06-07,89.14
World,2022-06-08,92
World,2022-06-09,85.57
World,2022-06-10,97.43
World,2022-06-11,94.57
World,2022-06-12,95.29
World,2022-06-13,109.57
World,2022-06-14,140.71
World,2022-06-15,148.29
World,2022-06-16,159.43
World,2022-06-17,184.43
World,2022-06-18,184.43
World,2022-06-19,195.29
World,2022-06-20,214.86
World,2022-06-21,262.43
World,2022-06-22,262.71
World,2022-06-23,286
World,2022-06-24,291
World,2022-06-25,297.29
World,2022-06-26,287.14
World,2022-06-27,265.71
World,2022-06-28,379.43
World,2022-06-29,371.86
World,2022-06-30,381.71
World,2022-07-01,354.29
World,2022-07-02,351.43
World,2022-07-03,352.86
World,2022-07-04,351.57
World,2022-07-05,490.86
World,2022-07-06,535.71
World,2022-07-07,508.86
World,2022-07-08,482.14
World,2022-07-09,478.71
World,2022-07-10,640
World,2022-07-11,640.86
World,2022-07-12,739.86
World,2022-07-13,749
World,2022-07-14,759.29
World,2022-07-15,789.43
World,2022-07-16,789.43
World,2022-07-17,625.86
World,2022-07-18,698.57
World,2022-07-19,846.29
World,2022-07-20,834.71
World,2022-07-21,891.86
World,2022-07-22,894.14
World,2022-07-23,894.14
World,2022-07-24,894.57
World,2022-07-25,852.14
World,2022-07-26,976.86
World,2022-07-27,981.71
World,2022-07-28,945.14
World,2022-07-29,940
World,2022-07-30,940
World,2022-07-31,942.57
World,2022-08-01,1031.71
World,2022-08-02,1122.71
World,2022-08-03,1067.29
World,2022-08-04,1061.29
World,2022-08-05,1063
World,2022-08-06,1063.57
World,2022-08-07,1060.29
World,2022-08-08,1026.43
World,2022-08-09,965.43
World,2022-08-10,975.71
World,2022-08-11,973.29
World,2022-08-12,987
World,2022-08-13,986.43
World,2022-08-14,1084.43
World,2022-08-15,974
World,2022-08-16,909.57
World,2022-08-17,926.71
World,2022-08-18,913.29
World,2022-08-19,913.57
World,2022-08-20,913.57
World,2022-08-21,817.43
World,2022-08-22,883.57
World,2022-08-23,824.57
World,2022-08-24,795.29
World,2022-08-25,778.71
World,2022-08-26,853.57
World,2022-08-27,853.57
World,2022-08-28,858.71
World,2022-08-29,798.86
World,2022-08-30,721.29
World,2022-08-31,747
World,2022-09-01,742.71
World,2022-09-02,624.86
World,2022-09-03,625.14
World,2022-09-04,661.29
World,2022-09-05,654.71
World,2022-09-06,618.29
World,2022-09-07,600.86
World,2022-09-08,596.57
World,2022-09-09,597
World,2022-09-10,596.71
World,2022-09-11,597.86
World,2022-09-12,597.86
World,2022-09-13,510.14
World,2022-09-14,505.29
World,2022-09-15,502.86
World,2022-09-16,519.14
World,2022-09-17,519.14
World,2022-09-18,482
World,2022-09-19,496.57
World,2022-09-20,423
World,2022-09-21,429.86
World,2022-09-22,427
World,2022-09-23,413.57
World,2022-09-24,413.57
World,2022-09-25,414
World,2022-09-26,413.71
World,2022-09-27,354
World,2022-09-28,341.14
World,2022-09-29,344.57
World,2022-09-30,349.43
World,2022-10-01,350.86
World,2022-10-02,345.14
World,2022-10-03,331.71
World,2022-10-04,276.14
World,2022-10-05,276.57
World,2022-10-06,278.71
World,2022-10-07,273.29
World,2022-10-08,271.86
World,2022-10-09,278.14
World,2022-10-10,279.43
World,2022-10-11,249.71
World,2022-10-12,248.14
World,2022-10-13,243
World,2022-10-14,246.43
World,2022-10-15,246.43
World,2022-10-16,240.43
World,2022-10-17,241.57
World,2022-10-18,186.29
World,2022-10-19,203.86
World,2022-10-20,202.29
World,2022-10-21,197.29
World,2022-10-22,197.29
World,2022-10-23,198.86
World,2022-10-24,197.14
World,2022-10-25,180.86
World,2022-10-26,163.71
World,2022-10-27,162.57
World,2022-10-28,162
World,2022-10-29,162
World,2022-10-30,159.43
World,2022-10-31,158.57
World,2022-11-01,135.86
World,2022-11-02,134.43
World,2022-11-03,134.86
World,2022-11-04,139
World,2022-11-05,139
World,2022-11-06,138
World,2022-11-07,137.14
World,2022-11-08,122.57
World,2022-11-09,122.57
World,2022-11-10,121.86
World,2022-11-11,117.14
World,2022-11-12,117.14
World,2022-11-13,125.29
World,2022-11-14,125.29
World,2022-11-15,106.71
World,2022-11-16,106.86
World,2022-11-17,107.14
World,2022-11-18,108.86
World,2022-11-19,108.86
World,2022-11-20,101.29
World,2022-11-21,101.29
World,2022-11-22,87.57
World,2022-11-23,87.57
World,2022-11-24,87.43
World,2022-11-25,86.57
World,2022-11-26,87.43
World,2022-11-27,88.86
World,2022-11-28,88.86
World,2022-11-29,75.43
World,2022-11-30,75.29
World,2022-12-01,75.14
World,2022-12-02,75.57
World,2022-12-03,74.71
World,2022-12-04,75.86
World,2022-12-05,75.86
World,2022-12-06,69
World,2022-12-07,69
World,2022-12-08,69
World,2022-12-09,69.29
World,2022-12-10,69.29
World,2022-12-11,67.86
World,2022-12-12,68.43
World,2022-12-13,52.71
World,2022-12-14,52.71
World,2022-12-15,52.71
World,2022-12-16,52
World,2022-12-17,52
World,2022-12-18,49
World,2022-12-19,48.43
World,2022-12-20,54.14
World,2022-12-21,54.14
World,2022-12-22,54.14
World,2022-12-23,53.43
World,2022-12-24,53.43
World,2022-12-25,53.14
World,2022-12-26,53.14
World,2022-12-27,34.57
World,2022-12-28,34.57
World,2022-12-29,34.57
World,2022-12-30,34.43
World,2022-12-31,34.43
World,2023-01-01,34.14
World,2023-01-02,34.14
World,2023-01-03,44.43
World,2023-01-04,44.43
World,2023-01-05,44.43
World,2023-01-06,44.71
World,2023-01-07,44.71
World,2023-01-08,49.57
World,2023-01-09,49.57
World,2023-01-10,41.43
World,2023-01-11,41.57
World,2023-01-12,41.71
World,2023-01-13,42.86
World,2023-01-14,42.86
World,2023-01-15,41
World,2023-01-16,41
World,2023-01-17,39
World,2023-01-18,38.86
World,2023-01-19,38.86
World,2023-01-20,38.43
World,2023-01-21,38.57
World,2023-01-22,39.71
World,2023-01-23,39.71
World,2023-01-24,34.14
World,2023-01-25,34.14
World,2023-01-26,34.29
World,2023-01-27,35.43
World,2023-01-28,35.29
World,2023-01-29,34
World,2023-01-30,34
World,2023-01-31,32.43
World,2023-02-01,32.86
World,2023-02-02,32.71
World,2023-02-03,31.14
World,2023-02-04,31.29
World,2023-02-05,29.71
World,2023-02-06,29.71
World,2023-02-07,19.71
World,2023-02-08,19.29
World,2023-02-09,19.29
World,2023-02-10,19
World,2023-02-11,18.86
World,2023-02-12,17.29
World,2023-02-13,17.29
World,2023-02-14,20.43
World,2023-02-15,20.57
World,2023-02-16,20.43
World,2023-02-17,20.29
World,2023-02-18,20.29
World,2023-02-19,25.29
World,2023-02-20,25.29
World,2023-02-21,19.71
World,2023-02-22,20
World,2023-02-23,20
World,2023-02-24,19.86
World,2023-02-25,19.86
World,2023-02-26,14.71
World,2023-02-27,14.71
World,2023-02-28,15.57
World,2023-03-01,16.14
World,2023-03-02,16.14
World,2023-03-03,16.14
World,2023-03-04,16.57
World,2023-03-05,19.29
World,2023-03-06,19.29
World,2023-03-07,17
World,2023-03-08,16
World,2023-03-09,16.29
World,2023-03-10,16.29
World,2023-03-11,15.86
World,2023-03-12,13.71
World,2023-03-13,13.86
World,2023-03-14,11.29
World,2023-03-15,13.86
World,2023-03-16,13.57
World,2023-03-17,13.71
World,2023-03-18,13.71
World,2023-03-19,14.14
World,2023-03-20,15.86
World,2023-03-21,16.14
World,2023-03-22,13.57
World,2023-03-23,13.71
World,2023-03-24,14.14
World,2023-03-25,14.29
World,2023-03-26,14.29
World,2023-03-27,12.43
World,2023-03-28,7.71
World,2023-03-29,10.86
World,2023-03-30,11.14
World,2023-03-31,10.71
World,2023-04-01,10.57
World,2023-04-02,9.71
World,2023-04-03,9.71
World,2023-04-04,12.57
World,2023-04-05,9.71
World,2023-04-06,9.29
World,2023-04-07,9.43
World,2023-04-08,9.57
World,2023-04-09,18
World,2023-04-10,18
World,2023-04-11,13.57
World,2023-04-12,15
World,2023-04-13,15
World,2023-04-14,15.43
World,2023-04-15,15.43
World,2023-04-16,12.14
World,2023-04-17,12.43
World,2023-04-18,18.43
World,2023-04-19,16.86
World,2023-04-20,17
World,2023-04-21,17.29
World,2023-04-22,17.14
World,2023-04-23,11.86
World,2023-04-24,14.29
World,2023-04-25,8.71
World,2023-04-26,11
World,2023-04-27,11
World,2023-04-28,10
World,2023-04-29,10
World,2023-04-30,11.86
World,2023-05-01,11.71
World,2023-05-02,14.86
World,2023-05-03,13.57
World,2023-05-04,14.29
World,2023-05-05,14.57
World,2023-05-06,14.57
World,2023-05-07,19.86
World,2023-05-08,17.29
World,2023-05-09,15.86
World,2023-05-10,17.57
World,2023-05-11,16.86
World,2023-05-12,18.29
World,2023-05-13,18.43
World,2023-05-14,17.29
World,2023-05-15,18
World,2023-05-16,16.86
World,2023-05-17,15.86
World,2023-05-18,15.71
World,2023-05-19,14
World,2023-05-20,14.71
World,2023-05-21,11.29
World,2023-05-22,10.57
World,2023-05-23,14.29
World,2023-05-24,12.43
World,2023-05-25,12.43
World,2023-05-26,15.14
World,2023-05-27,14.29
World,2023-05-28,11.43
World,2023-05-29,11.43
World,2023-05-30,12.43
World,2023-05-31,19.29
World,2023-06-01,20.14
World,2023-06-02,17.57
World,2023-06-03,17.57
World,2023-06-04,22.57
World,2023-06-05,23.86
World,2023-06-06,22.57
World,2023-06-07,16.86
World,2023-06-08,17.57
World,2023-06-09,17.43
World,2023-06-10,17.43
World,2023-06-11,15.14
World,2023-06-12,14.29
World,2023-06-13,12
World,2023-06-14,10.86
World,2023-06-15,9.71
World,2023-06-16,9.86
